layer,metric,attack,rho,pval,n,family,q_per_attack,q_per_family,q_global,sig_per_attack,sig_per_family,sig_global
6,NormAnonDiff_MeanCos,MIA,-0.0879,0.7752,13,entropy,0.9988,0.9219,0.9786,,,
6,NormAnonDiff_MeanCos,MIA_MinK,-0.2833,0.4600,9,entropy,0.9822,0.9120,0.9136,,,
6,NormAnonDiff_MeanCos,MIA_Ref,0.3333,0.3807,9,entropy,0.9785,0.9794,0.8545,,,
6,NormAnonDiff_MeanCos,MIA_Hidden,0.0167,0.9661,9,entropy,0.9958,0.9847,0.9916,,,
6,NormAnonDiff_MeanCos,SPV_MIA,-0.6500,0.0581,9,entropy,0.1041,0.1050,0.3105,,,
7,Centroid_Norm,Steering,-0.0857,0.7613,15,auss,0.9873,0.9577,0.9786,,,
7,Centroid_Norm,ICL,0.6032,0.0173,15,auss,0.0400,0.0264,0.1557,*,*,
7,Centroid_Norm,GCG,-0.0235,0.9337,15,auss,0.9762,0.9705,0.9907,,,
7,Centroid_Norm,MIA,-0.0179,0.9496,15,auss,0.9988,1.0000,0.9916,,,
7,Centroid_Norm,MIA_MinK,0.0455,0.8944,11,auss,0.9822,0.9762,0.9907,,,
7,Centroid_Norm,MIA_Ref,0.3636,0.2716,11,auss,0.9785,0.9390,0.7465,,,
7,Centroid_Norm,MIA_Hidden,0.1455,0.6696,11,auss,0.9958,0.9939,0.9786,,,
7,Centroid_Norm,SPV_MIA,-0.5114,0.1078,11,auss,0.1685,0.1531,0.4510,,,
7,Global_Coherence,Steering,-0.0857,0.7613,15,auss,0.9873,0.9577,0.9786,,,
7,Global_Coherence,ICL,0.6032,0.0173,15,auss,0.0400,0.0264,0.1557,*,*,
7,Global_Coherence,GCG,-0.0235,0.9337,15,auss,0.9762,0.9705,0.9907,,,
7,Global_Coherence,MIA,-0.0179,0.9496,15,auss,0.9988,1.0000,0.9916,,,
7,Global_Coherence,MIA_MinK,0.0455,0.8944,11,auss,0.9822,0.9762,0.9907,,,
7,Global_Coherence,MIA_Ref,0.3636,0.2716,11,auss,0.9785,0.9390,0.7465,,,
7,Global_Coherence,MIA_Hidden,0.1455,0.6696,11,auss,0.9958,0.9939,0.9786,,,
7,Global_Coherence,SPV_MIA,-0.5114,0.1078,11,auss,0.1685,0.1531,0.4510,,,
7,Batch_SecondMoment_TopEig,Steering,-0.0964,0.7325,15,auss,0.9873,0.9577,0.9786,,,
7,Batch_SecondMoment_TopEig,ICL,0.6142,0.0148,15,auss,0.0365,0.0232,0.1458,*,*,
7,Batch_SecondMoment_TopEig,GCG,-0.0235,0.9337,15,auss,0.9762,0.9705,0.9907,,,
7,Batch_SecondMoment_TopEig,MIA,-0.0250,0.9295,15,auss,0.9988,1.0000,0.9907,,,
7,Batch_SecondMoment_TopEig,MIA_MinK,0.0455,0.8944,11,auss,0.9822,0.9762,0.9907,,,
7,Batch_SecondMoment_TopEig,MIA_Ref,0.3636,0.2716,11,auss,0.9785,0.9390,0.7465,,,
7,Batch_SecondMoment_TopEig,MIA_Hidden,0.1455,0.6696,11,auss,0.9958,0.9939,0.9786,,,
7,Batch_SecondMoment_TopEig,SPV_MIA,-0.5114,0.1078,11,auss,0.1685,0.1531,0.4510,,,
7,AUSS_L2,Steering,0.0857,0.7613,15,auss,0.9873,0.9577,0.9786,,,
7,AUSS_L2,ICL,-0.6032,0.0173,15,auss,0.0400,0.0264,0.1557,*,*,
7,AUSS_L2,GCG,0.0235,0.9337,15,auss,0.9762,0.9705,0.9907,,,
7,AUSS_L2,MIA,0.0179,0.9496,15,auss,0.9988,1.0000,0.9916,,,
7,AUSS_L2,MIA_MinK,-0.0455,0.8944,11,auss,0.9822,0.9762,0.9907,,,
7,AUSS_L2,MIA_Ref,-0.3636,0.2716,11,auss,0.9785,0.9390,0.7465,,,
7,AUSS_L2,MIA_Hidden,-0.1455,0.6696,11,auss,0.9958,0.9939,0.9786,,,
7,AUSS_L2,SPV_MIA,0.5114,0.1078,11,auss,0.1685,0.1531,0.4510,,,
7,AUSS_Cos2,Steering,0.0750,0.7905,15,auss,0.9873,0.9577,0.9786,,,
7,AUSS_Cos2,ICL,-0.6289,0.0120,15,auss,0.0332,0.0207,0.1346,*,*,
7,AUSS_Cos2,GCG,0.0235,0.9337,15,auss,0.9762,0.9705,0.9907,,,
7,AUSS_Cos2,MIA,0.0607,0.8298,15,auss,0.9988,1.0000,0.9786,,,
